,Leaning,Source,Topic,Allsides,ArticleUrl,md5,notes
0,L,ABC News,Global warming,https://www.allsides.com/story/green-new-deal-dies-senate,https://abcnews.go.com/Politics/senators-block-progressive-green-deal-proposal/story?id=61951547,08DFE8FD879ECA26BBE529D61A3B60DE,
1,R,Accuracy in Media,Trust in mass media,https://www.allsides.com/story/media-bias-watch,,,
2,C,Associated Press,Abortion,https://www.allsides.com/story/judge-rules-clinicians-cannot-object-abortions-moral-or-religious-grounds,https://apnews.com/4a5a08de3115411483efa7de09140246,A6B92DC8574613985202CA9B529F8F62,
3,C,Associated Press,Federal Govt Power,https://www.allsides.com/story/state-department-finds-violations-no-systemic-mishandling-clinton-email-probe,https://www.apnews.com/14b14afc5d8647858489a2cf5385c28d,666278665559EBFCA110CD979862B272,
4,C,Associated Press,Foreign trade,https://www.allsides.com/story/trade-deficit-hits-decade-high,https://www.apnews.com/73e93b30c49a4349aea32f2f42249cc5,2F0D942B9F957B5866AF81FF493629FF,
5,C,Associated Press,Healthcare,https://www.allsides.com/story/warren-releases-details-medicare-all-plan,https://apnews.com/08e2db243cf045f9aef2e4de8704e114,415EB060612318676ADA34A3C4CBF06B,
6,C,BBC News,Immigration,https://www.allsides.com/story/statue-liberty-poem-revised,,,
7,C,BBC News,Abortion,https://www.allsides.com/story/trump-breaks-silence-abortion-law,,,
8,C,Bloomberg,K-12 education,https://www.allsides.com/story/democrats-propose-raising-teacher-pay-rescinding-tax-cuts-wealthiest-americans,,,
9,C,Bloomberg,Taxes on upper-income,https://www.allsides.com/story/obama-income-taxes,,,
10,R,Breitbart News,Confidence in police,https://www.allsides.com/story/family-demands-justice-after-police-killing-atatiana-jefferson,https://www.breitbart.com/local/2019/10/14/family-seeks-answers-after-texas-police-kill-atatiana-jefferson-at-home/,2051457FAA8C3532C7463A1A5AE90E13,
11,R,Breitbart News,Immigration,https://www.allsides.com/story/ice-arrests-680-unauthorized-workers-mississippi,https://www.breitbart.com/politics/2019/08/07/ice-arrests-680-illegal-aliens-in-largest-single-state-raid-in-u-s-history/,75FFC7ABB5738FF13D7BC7885F88F278,
12,R,Breitbart News,K-12 education,https://www.allsides.com/story/trump-admin-moves-rescind-obama-era-policies-school-discipline,https://www.breitbart.com/politics/2018/12/18/donald-trump-school-safety-report-urges-more-responsible-media-coverage-of-mass-shooters/,9C3E5A71B5798D8B5368292D25181A0A,
13,L,BuzzFeed News,Immigration,https://www.allsides.com/story/ice-arrests-680-unauthorized-workers-mississippi,,,
14,L,BuzzFeed News,K-12 education,https://www.allsides.com/story/trump-admin-moves-rescind-obama-era-policies-school-discipline,,,
15,L,CBS News,Gun laws,https://www.allsides.com/story/cory-booker-unveils-gun-control-plan,,,
16,C,Chicago Tribune,Confidence in police,https://www.allsides.com/story/chicago-police-probe-findings,,,
17,C,Chicago Tribune,Confidence in police,https://www.allsides.com/story/family-demands-justice-after-police-killing-atatiana-jefferson,,,
